"geoid_o","geoid_d","lng_o","lat_o","lng_d","lat_d","date","visitor_flows","pop_flows","date_range"
"Alaska","Alabama","-151.59342192189865","63.74298901509072","-86.8445209956579","32.75687994183124","2021-01-21","24","661.0",""
"Alaska","Alaska","-151.59342192189865","63.74298901509072","-151.59342192189865","63.74298901509072","2021-01-21","42627","1174114.0",""
"Alaska","Arizona","-151.59342192189865","63.74298901509072","-111.6644603390921","34.29309519459149","2021-01-21","208","5729.0",""
"Alaska","Arkansas","-151.59342192189865","63.74298901509072","-92.43923686174864","34.8997724175194","2021-01-21","10","275.0",""
"Alaska","California","-151.59342192189865","63.74298901509072","-119.6638458867405","37.21530826027419","2021-01-21","167","4599.0",""
"Alaska","Colorado","-151.59342192189865","63.74298901509072","-105.5478211203382","38.99853159698931","2021-01-21","40","1101.0",""
"Alaska","Connecticut","-151.59342192189865","63.74298901509072","-72.73825767764087","41.57516414989576","2021-01-21","2","55.0",""
"Alaska","Delaware","-151.59342192189865","63.74298901509072","-75.45249262811352","38.99497528640457","2021-01-21","3","82.0",""
"Alaska","District of Columbia","-151.59342192189865","63.74298901509072","-77.0162909035438","38.90477388790585","2021-01-21","8","220.0",""
"Alaska","Florida","-151.59342192189865","63.74298901509072","-82.46641838867941","28.477058414990196","2021-01-21","129","3553.0",""
"Alaska","Georgia","-151.59342192189865","63.74298901509072","-83.42714021377525","32.63861711465618","2021-01-21","67","1845.0",""
"Alaska","Hawaii","-151.59342192189865","63.74298901509072","-158.1099738068461","20.99511119900836","2021-01-21","197","5426.0",""
"Alaska","Idaho","-151.59342192189865","63.74298901509072","-114.6594139607683","44.389055086057056","2021-01-21","69","1900.0",""
"Alaska","Illinois","-151.59342192189865","63.74298901509072","-89.14863899339443","40.12420082696936","2021-01-21","23","633.0",""
"Alaska","Indiana","-151.59342192189865","63.74298901509072","-86.28183838774677","39.919869617318085","2021-01-21","10","275.0",""
"Alaska","Iowa","-151.59342192189865","63.74298901509072","-93.50009011569544","42.07464832674591","2021-01-21","4","110.0",""
"Alaska","Kansas","-151.59342192189865","63.74298901509072","-98.38015540415404","38.484727072453566","2021-01-21","6","165.0",""
"Alaska","Kentucky","-151.59342192189865","63.74298901509072","-85.29055223275348","37.5266141736611","2021-01-21","20","550.0",""
"Alaska","Louisiana","-151.59342192189865","63.74298901509072","-91.81423318426776","30.909072897746587","2021-01-21","23","633.0",""
"Alaska","Maine","-151.59342192189865","63.74298901509072","-69.20275986278288","45.27432853102379","2021-01-21","3","82.0",""
"Alaska","Maryland","-151.59342192189865","63.74298901509072","-76.68717734070172","38.94649396258224","2021-01-21","14","385.0",""
"Alaska","Massachusetts","-151.59342192189865","63.74298901509072","-71.503972041848","42.16009326868467","2021-01-21","4","110.0",""
"Alaska","Michigan","-151.59342192189865","63.74298901509072","-85.73095291151436","44.874773603554175","2021-01-21","27","743.0",""
"Alaska","Minnesota","-151.59342192189865","63.74298901509072","-94.19830560457336","46.3491103788664","2021-01-21","21","578.0",""
"Alaska","Mississippi","-151.59342192189865","63.74298901509072","-89.6533594096457","32.712892273261986","2021-01-21","6","165.0",""
"Alaska","Missouri","-151.59342192189865","63.74298901509072","-92.4774251950813","38.3676304410753","2021-01-21","8","220.0",""
"Alaska","Montana","-151.59342192189865","63.74298901509072","-109.6452069879664","47.03342111039991","2021-01-21","43","1184.0",""
"Alaska","Nebraska","-151.59342192189865","63.74298901509072","-99.81085586033896","41.5271511252317","2021-01-21","4","110.0",""
"Alaska","Nevada","-151.59342192189865","63.74298901509072","-116.65524866805762","39.35618587303088","2021-01-21","75","2065.0",""
"Alaska","New Hampshire","-151.59342192189865","63.74298901509072","-71.57124316745634","43.6802370603039","2021-01-21","4","110.0",""
"Alaska","New Jersey","-151.59342192189865","63.74298901509072","-74.65561230865505","40.11017985292258","2021-01-21","4","110.0",""
"Alaska","New Mexico","-151.59342192189865","63.74298901509072","-106.1084438818861","34.42130099474041","2021-01-21","7","192.0",""
"Alaska","New York","-151.59342192189865","63.74298901509072","-75.59654322164518","42.92123354806042","2021-01-21","28","771.0",""
"Alaska","North Carolina","-151.59342192189865","63.74298901509072","-79.13090891837648","35.52603039243236","2021-01-21","28","771.0",""
"Alaska","North Dakota","-151.59342192189865","63.74298901509072","-100.4693907950372","47.44631042175392","2021-01-21","8","220.0",""
"Alaska","Ohio","-151.59342192189865","63.74298901509072","-82.70937700691621","40.415486910016135","2021-01-21","26","716.0",""
"Alaska","Oklahoma","-151.59342192189865","63.74298901509072","-97.50822793037422","35.583464652524235","2021-01-21","39","1074.0",""
"Alaska","Oregon","-151.59342192189865","63.74298901509072","-120.605256310199","43.94045138675371","2021-01-21","151","4159.0",""
"Alaska","Pennsylvania","-151.59342192189865","63.74298901509072","-77.83893800628347","40.896700506452106","2021-01-21","23","633.0",""
"Alaska","Rhode Island","-151.59342192189865","63.74298901509072","-71.52472355562169","41.59463889844585","2021-01-21","2","55.0",""
"Alaska","South Carolina","-151.59342192189865","63.74298901509072","-80.86459715523999","33.87785606967731","2021-01-21","19","523.0",""
"Alaska","South Dakota","-151.59342192189865","63.74298901509072","-100.23046550270404","44.43613758926095","2021-01-21","7","192.0",""
"Alaska","Tennessee","-151.59342192189865","63.74298901509072","-86.34341233023729","35.84298014361061","2021-01-21","27","743.0",""
"Alaska","Texas","-151.59342192189865","63.74298901509072","-99.3171209695712","31.447212191842507","2021-01-21","158","4351.0",""
"Alaska","Utah","-151.59342192189865","63.74298901509072","-111.67824995489636","39.32376871301901","2021-01-21","39","1074.0",""
"Alaska","Vermont","-151.59342192189865","63.74298901509072","-72.66263037415419","44.07524823317805","2021-01-21","2","55.0",""
"Alaska","Virginia","-151.59342192189865","63.74298901509072","-78.66634949421768","37.510873096830124","2021-01-21","25","688.0",""
"Alaska","Washington","-151.59342192189865","63.74298901509072","-120.59289987466929","47.41163921872467","2021-01-21","684","18840.0",""
"Alaska","West Virginia","-151.59342192189865","63.74298901509072","-80.61370689717069","38.64256709677395","2021-01-21","1","27.0",""
"Alaska","Wisconsin","-151.59342192189865","63.74298901509072","-89.73293305821664","44.63994410730462","2021-01-21","14","385.0",""
"Alaska","Wyoming","-151.59342192189865","63.74298901509072","-107.55139421018254","42.9995374625361","2021-01-21","5","137.0",""
"Alaska","Puerto Rico","-151.59342192189865","63.74298901509072","-66.41466678397286","18.21569833731172","2021-01-21","2","55.0",""
"California","Alabama","-119.6638458867405","37.21530826027419","-86.8445209956579","32.75687994183124","2021-01-21","600","14850.0",""
"California","Alaska","-119.6638458867405","37.21530826027419","-151.59342192189865","63.74298901509072","2021-01-21","144","3564.0",""
"California","Arizona","-119.6638458867405","37.21530826027419","-111.6644603390921","34.29309519459149","2021-01-21","10839","268280.0",""
"California","Arkansas","-119.6638458867405","37.21530826027419","-92.43923686174864","34.8997724175194","2021-01-21","443","10964.0",""
"California","California","-119.6638458867405","37.21530826027419","-119.6638458867405","37.21530826027419","2021-01-21","2763366","68397079.0",""
"California","Colorado","-119.6638458867405","37.21530826027419","-105.5478211203382","38.99853159698931","2021-01-21","2192","54254.0",""
"California","Connecticut","-119.6638458867405","37.21530826027419","-72.73825767764087","41.57516414989576","2021-01-21","148","3663.0",""
"California","Delaware","-119.6638458867405","37.21530826027419","-75.45249262811352","38.99497528640457","2021-01-21","35","866.0",""
"California","District of Columbia","-119.6638458867405","37.21530826027419","-77.0162909035438","38.90477388790585","2021-01-21","189","4678.0",""
"California","Florida","-119.6638458867405","37.21530826027419","-82.46641838867941","28.477058414990196","2021-01-21","3221","79724.0",""
"California","Georgia","-119.6638458867405","37.21530826027419","-83.42714021377525","32.63861711465618","2021-01-21","1131","27993.0",""
"California","Hawaii","-119.6638458867405","37.21530826027419","-158.1099738068461","20.99511119900836","2021-01-21","1795","44428.0",""
"California","Idaho","-119.6638458867405","37.21530826027419","-114.6594139607683","44.389055086057056","2021-01-21","1613","39923.0",""
"California","Illinois","-119.6638458867405","37.21530826027419","-89.14863899339443","40.12420082696936","2021-01-21","1344","33265.0",""
"California","Indiana","-119.6638458867405","37.21530826027419","-86.28183838774677","39.919869617318085","2021-01-21","739","18291.0",""
"California","Iowa","-119.6638458867405","37.21530826027419","-93.50009011569544","42.07464832674591","2021-01-21","389","9628.0",""
"California","Kansas","-119.6638458867405","37.21530826027419","-98.38015540415404","38.484727072453566","2021-01-21","498","12326.0",""
"California","Kentucky","-119.6638458867405","37.21530826027419","-85.29055223275348","37.5266141736611","2021-01-21","298","7375.0",""
"California","Louisiana","-119.6638458867405","37.21530826027419","-91.81423318426776","30.909072897746587","2021-01-21","593","14677.0",""
"California","Maine","-119.6638458867405","37.21530826027419","-69.20275986278288","45.27432853102379","2021-01-21","40","990.0",""
"California","Maryland","-119.6638458867405","37.21530826027419","-76.68717734070172","38.94649396258224","2021-01-21","383","9479.0",""
"California","Massachusetts","-119.6638458867405","37.21530826027419","-71.503972041848","42.16009326868467","2021-01-21","499","12350.0",""
"California","Michigan","-119.6638458867405","37.21530826027419","-85.73095291151436","44.874773603554175","2021-01-21","618","15296.0",""
"California","Minnesota","-119.6638458867405","37.21530826027419","-94.19830560457336","46.3491103788664","2021-01-21","480","11880.0",""
"California","Mississippi","-119.6638458867405","37.21530826027419","-89.6533594096457","32.712892273261986","2021-01-21","342","8464.0",""
"California","Missouri","-119.6638458867405","37.21530826027419","-92.4774251950813","38.3676304410753","2021-01-21","853","21112.0",""
"California","Montana","-119.6638458867405","37.21530826027419","-109.6452069879664","47.03342111039991","2021-01-21","483","11954.0",""
"California","Nebraska","-119.6638458867405","37.21530826027419","-99.81085586033896","41.5271511252317","2021-01-21","385","9529.0",""
"California","Nevada","-119.6638458867405","37.21530826027419","-116.65524866805762","39.35618587303088","2021-01-21","8283","205015.0",""
"California","New Hampshire","-119.6638458867405","37.21530826027419","-71.57124316745634","43.6802370603039","2021-01-21","64","1584.0",""
"California","New Jersey","-119.6638458867405","37.21530826027419","-74.65561230865505","40.11017985292258","2021-01-21","448","11088.0",""
"California","New Mexico","-119.6638458867405","37.21530826027419","-106.1084438818861","34.42130099474041","2021-01-21","917","22697.0",""
"California","New York","-119.6638458867405","37.21530826027419","-75.59654322164518","42.92123354806042","2021-01-21","1133","28043.0",""
"California","North Carolina","-119.6638458867405","37.21530826027419","-79.13090891837648","35.52603039243236","2021-01-21","911","22548.0",""
"California","North Dakota","-119.6638458867405","37.21530826027419","-100.4693907950372","47.44631042175392","2021-01-21","90","2227.0",""
"California","Ohio","-119.6638458867405","37.21530826027419","-82.70937700691621","40.415486910016135","2021-01-21","755","18687.0",""
"California","Oklahoma","-119.6638458867405","37.21530826027419","-97.50822793037422","35.583464652524235","2021-01-21","953","23588.0",""
"California","Oregon","-119.6638458867405","37.21530826027419","-120.605256310199","43.94045138675371","2021-01-21","4349","107643.0",""
"California","Pennsylvania","-119.6638458867405","37.21530826027419","-77.83893800628347","40.896700506452106","2021-01-21","637","15766.0",""
"California","Rhode Island","-119.6638458867405","37.21530826027419","-71.52472355562169","41.59463889844585","2021-01-21","87","2153.0",""
"California","South Carolina","-119.6638458867405","37.21530826027419","-80.86459715523999","33.87785606967731","2021-01-21","368","9108.0",""
"California","South Dakota","-119.6638458867405","37.21530826027419","-100.23046550270404","44.43613758926095","2021-01-21","89","2202.0",""
"California","Tennessee","-119.6638458867405","37.21530826027419","-86.34341233023729","35.84298014361061","2021-01-21","1122","27771.0",""
"California","Texas","-119.6638458867405","37.21530826027419","-99.3171209695712","31.447212191842507","2021-01-21","6554","162220.0",""
"California","Utah","-119.6638458867405","37.21530826027419","-111.67824995489636","39.32376871301901","2021-01-21","2651","65615.0",""
"California","Vermont","-119.6638458867405","37.21530826027419","-72.66263037415419","44.07524823317805","2021-01-21","17","420.0",""
"California","Virginia","-119.6638458867405","37.21530826027419","-78.66634949421768","37.510873096830124","2021-01-21","843","20865.0",""
