geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
1,1,-86.844521,32.75687994,-86.844521,32.75687994,01/01/2019,682384,8036521
1,2,-86.844521,32.75687994,-151.5934219,63.74298902,01/01/2019,17,200
1,4,-86.844521,32.75687994,-111.6644603,34.29309519,01/01/2019,330,3886
1,5,-86.844521,32.75687994,-92.43923686,34.89977242,01/01/2019,553,6512
1,6,-86.844521,32.75687994,-119.6638459,37.21530826,01/01/2019,1267,14921
1,8,-86.844521,32.75687994,-105.5478211,38.9985316,01/01/2019,1179,13885
1,9,-86.844521,32.75687994,-72.73825768,41.57516415,01/01/2019,117,1377
1,10,-86.844521,32.75687994,-75.45249263,38.99497529,01/01/2019,51,600
1,11,-86.844521,32.75687994,-77.0162909,38.90477389,01/01/2019,143,1684
1,12,-86.844521,32.75687994,-82.46641839,28.47705841,01/01/2019,14315,168589
1,13,-86.844521,32.75687994,-83.42714021,32.63861711,01/01/2019,15896,187209
1,15,-86.844521,32.75687994,-158.1099738,20.9951112,01/01/2019,218,2567
1,16,-86.844521,32.75687994,-114.659414,44.38905509,01/01/2019,67,789
1,17,-86.844521,32.75687994,-89.14863899,40.12420083,01/01/2019,1203,14167
1,18,-86.844521,32.75687994,-86.28183839,39.91986962,01/01/2019,641,7549
1,19,-86.844521,32.75687994,-93.50009012,42.07464833,01/01/2019,107,1260
1,20,-86.844521,32.75687994,-98.3801554,38.48472707,01/01/2019,321,3780
1,21,-86.844521,32.75687994,-85.29055223,37.52661417,01/01/2019,966,11376
1,22,-86.844521,32.75687994,-91.81423318,30.9090729,01/01/2019,2996,35284
1,23,-86.844521,32.75687994,-69.20275986,45.27432853,01/01/2019,38,447
1,24,-86.844521,32.75687994,-76.68717734,38.94649396,01/01/2019,354,4169
1,25,-86.844521,32.75687994,-71.50397204,42.16009327,01/01/2019,208,2449
1,26,-86.844521,32.75687994,-85.73095291,44.8747736,01/01/2019,561,6606
1,27,-86.844521,32.75687994,-94.1983056,46.34911038,01/01/2019,206,2426
1,28,-86.844521,32.75687994,-89.65335941,32.71289227,01/01/2019,5520,65009
1,29,-86.844521,32.75687994,-92.4774252,38.36763044,01/01/2019,690,8126
1,30,-86.844521,32.75687994,-109.645207,47.03342111,01/01/2019,101,1189
1,31,-86.844521,32.75687994,-99.81085586,41.52715113,01/01/2019,77,906
1,32,-86.844521,32.75687994,-116.6552487,39.35618587,01/01/2019,308,3627
1,33,-86.844521,32.75687994,-71.57124317,43.68023706,01/01/2019,21,247
1,34,-86.844521,32.75687994,-74.65561231,40.11017985,01/01/2019,326,3839
1,35,-86.844521,32.75687994,-106.1084439,34.42130099,01/01/2019,113,1330
1,36,-86.844521,32.75687994,-75.59654322,42.92123355,01/01/2019,1017,11977
1,37,-86.844521,32.75687994,-79.13090892,35.52603039,01/01/2019,1782,20986
1,38,-86.844521,32.75687994,-100.4693908,47.44631042,01/01/2019,33,388
1,39,-86.844521,32.75687994,-82.70937701,40.41548691,01/01/2019,679,7996
1,40,-86.844521,32.75687994,-97.50822793,35.58346465,01/01/2019,322,3792
1,41,-86.844521,32.75687994,-120.6052563,43.94045139,01/01/2019,81,953
1,42,-86.844521,32.75687994,-77.83893801,40.89670051,01/01/2019,509,5994
1,44,-86.844521,32.75687994,-71.52472356,41.5946389,01/01/2019,24,282
1,45,-86.844521,32.75687994,-80.86459716,33.87785607,01/01/2019,1030,12130
1,46,-86.844521,32.75687994,-100.2304655,44.43613759,01/01/2019,37,435
1,47,-86.844521,32.75687994,-86.34341233,35.84298014,01/01/2019,11475,135142
1,48,-86.844521,32.75687994,-99.31712097,31.44721219,01/01/2019,3004,35378
1,49,-86.844521,32.75687994,-111.67825,39.32376871,01/01/2019,265,3120
1,50,-86.844521,32.75687994,-72.66263037,44.07524823,01/01/2019,14,164
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,01/01/2019,1056,12436
1,53,-86.844521,32.75687994,-120.5928999,47.41163922,01/01/2019,156,1837
1,54,-86.844521,32.75687994,-80.6137069,38.6425671,01/01/2019,199,2343
1,55,-86.844521,32.75687994,-89.73293306,44.63994411,01/01/2019,304,3580
1,56,-86.844521,32.75687994,-107.5513942,42.99953746,01/01/2019,81,953
1,72,-86.844521,32.75687994,-66.41466678,18.21569834,01/01/2019,44,518
2,1,-151.5934219,63.74298902,-86.844521,32.75687994,01/01/2019,49,962
2,2,-151.5934219,63.74298902,-151.5934219,63.74298902,01/01/2019,51784,1017365
2,4,-151.5934219,63.74298902,-111.6644603,34.29309519,01/01/2019,271,5324
2,5,-151.5934219,63.74298902,-92.43923686,34.89977242,01/01/2019,12,235
2,6,-151.5934219,63.74298902,-119.6638459,37.21530826,01/01/2019,489,9607
2,8,-151.5934219,63.74298902,-105.5478211,38.9985316,01/01/2019,122,2396
2,9,-151.5934219,63.74298902,-72.73825768,41.57516415,01/01/2019,8,157
2,10,-151.5934219,63.74298902,-75.45249263,38.99497529,01/01/2019,1,19
2,11,-151.5934219,63.74298902,-77.0162909,38.90477389,01/01/2019,1,19
2,12,-151.5934219,63.74298902,-82.46641839,28.47705841,01/01/2019,314,6168
2,13,-151.5934219,63.74298902,-83.42714021,32.63861711,01/01/2019,77,1512
2,15,-151.5934219,63.74298902,-158.1099738,20.9951112,01/01/2019,400,7858
2,16,-151.5934219,63.74298902,-114.659414,44.38905509,01/01/2019,54,1060
2,17,-151.5934219,63.74298902,-89.14863899,40.12420083,01/01/2019,110,2161
2,18,-151.5934219,63.74298902,-86.28183839,39.91986962,01/01/2019,30,589
2,19,-151.5934219,63.74298902,-93.50009012,42.07464833,01/01/2019,6,117
2,20,-151.5934219,63.74298902,-98.3801554,38.48472707,01/01/2019,31,609
