"geoid_o","geoid_d","lng_o","lat_o","lng_d","lat_d","date","visitor_flows","pop_flows","date_range"
"17","1","-89.14863899339443","40.12420082696936","-86.8445209956579","32.75687994183124","2020-12-24","803","14724.0",""
"17","2","-89.14863899339443","40.12420082696936","-151.59342192189865","63.74298901509072","2020-12-24","38","696.0",""
"17","4","-89.14863899339443","40.12420082696936","-111.6644603390921","34.29309519459149","2020-12-24","2270","41624.0",""
"17","5","-89.14863899339443","40.12420082696936","-92.43923686174864","34.8997724175194","2020-12-24","585","10727.0",""
"17","6","-89.14863899339443","40.12420082696936","-119.6638458867405","37.21530826027419","2020-12-24","2051","37609.0",""
"17","8","-89.14863899339443","40.12420082696936","-105.5478211203382","38.99853159698931","2020-12-24","1604","29412.0",""
"17","9","-89.14863899339443","40.12420082696936","-72.73825767764087","41.57516414989576","2020-12-24","159","2915.0",""
"17","10","-89.14863899339443","40.12420082696936","-75.45249262811352","38.99497528640457","2020-12-24","55","1008.0",""
"17","11","-89.14863899339443","40.12420082696936","-77.0162909035438","38.90477388790585","2020-12-24","43","788.0",""
"17","12","-89.14863899339443","40.12420082696936","-82.46641838867941","28.477058414990196","2020-12-24","15109","277053.0",""
"17","13","-89.14863899339443","40.12420082696936","-83.42714021377525","32.63861711465618","2020-12-24","1763","32328.0",""
"17","15","-89.14863899339443","40.12420082696936","-158.1099738068461","20.99511119900836","2020-12-24","470","8618.0",""
"17","16","-89.14863899339443","40.12420082696936","-114.6594139607683","44.389055086057056","2020-12-24","79","1448.0",""
"17","17","-89.14863899339443","40.12420082696936","-89.14863899339443","40.12420082696936","2020-12-24","1296266","23769621.0",""
"17","18","-89.14863899339443","40.12420082696936","-86.28183838774677","39.919869617318085","2020-12-24","11671","214011.0",""
"17","19","-89.14863899339443","40.12420082696936","-93.50009011569544","42.07464832674591","2020-12-24","6833","125296.0",""
"17","20","-89.14863899339443","40.12420082696936","-98.38015540415404","38.484727072453566","2020-12-24","599","10983.0",""
"17","21","-89.14863899339443","40.12420082696936","-85.29055223275348","37.5266141736611","2020-12-24","2116","38801.0",""
"17","22","-89.14863899339443","40.12420082696936","-91.81423318426776","30.909072897746587","2020-12-24","419","7683.0",""
"17","23","-89.14863899339443","40.12420082696936","-69.20275986278288","45.27432853102379","2020-12-24","47","861.0",""
"17","24","-89.14863899339443","40.12420082696936","-76.68717734070172","38.94649396258224","2020-12-24","308","5647.0",""
"17","25","-89.14863899339443","40.12420082696936","-71.503972041848","42.16009326868467","2020-12-24","235","4309.0",""
"17","26","-89.14863899339443","40.12420082696936","-85.73095291151436","44.874773603554175","2020-12-24","3036","55671.0",""
"17","27","-89.14863899339443","40.12420082696936","-94.19830560457336","46.3491103788664","2020-12-24","1205","22096.0",""
"17","28","-89.14863899339443","40.12420082696936","-89.6533594096457","32.712892273261986","2020-12-24","458","8398.0",""
"17","29","-89.14863899339443","40.12420082696936","-92.4774251950813","38.3676304410753","2020-12-24","11099","203522.0",""
"17","30","-89.14863899339443","40.12420082696936","-109.6452069879664","47.03342111039991","2020-12-24","173","3172.0",""
"17","31","-89.14863899339443","40.12420082696936","-99.81085586033896","41.5271511252317","2020-12-24","389","7133.0",""
"17","32","-89.14863899339443","40.12420082696936","-116.65524866805762","39.35618587303088","2020-12-24","784","14376.0",""
"17","33","-89.14863899339443","40.12420082696936","-71.57124316745634","43.6802370603039","2020-12-24","72","1320.0",""
"17","34","-89.14863899339443","40.12420082696936","-74.65561230865505","40.11017985292258","2020-12-24","507","9296.0",""
"17","35","-89.14863899339443","40.12420082696936","-106.1084438818861","34.42130099474041","2020-12-24","215","3942.0",""
"17","36","-89.14863899339443","40.12420082696936","-75.59654322164518","42.92123354806042","2020-12-24","793","14541.0",""
"17","37","-89.14863899339443","40.12420082696936","-79.13090891837648","35.52603039243236","2020-12-24","938","17200.0",""
"17","38","-89.14863899339443","40.12420082696936","-100.4693907950372","47.44631042175392","2020-12-24","88","1613.0",""
"17","39","-89.14863899339443","40.12420082696936","-82.70937700691621","40.415486910016135","2020-12-24","2048","37554.0",""
"17","40","-89.14863899339443","40.12420082696936","-97.50822793037422","35.583464652524235","2020-12-24","528","9681.0",""
"17","41","-89.14863899339443","40.12420082696936","-120.605256310199","43.94045138675371","2020-12-24","141","2585.0",""
"17","42","-89.14863899339443","40.12420082696936","-77.83893800628347","40.896700506452106","2020-12-24","713","13074.0",""
"17","44","-89.14863899339443","40.12420082696936","-71.52472355562169","41.59463889844585","2020-12-24","15","275.0",""
"17","45","-89.14863899339443","40.12420082696936","-80.86459715523999","33.87785606967731","2020-12-24","675","12377.0",""
"17","46","-89.14863899339443","40.12420082696936","-100.23046550270404","44.43613758926095","2020-12-24","135","2475.0",""
"17","47","-89.14863899339443","40.12420082696936","-86.34341233023729","35.84298014361061","2020-12-24","2129","39039.0",""
"17","48","-89.14863899339443","40.12420082696936","-99.3171209695712","31.447212191842507","2020-12-24","3852","70634.0",""
"17","49","-89.14863899339443","40.12420082696936","-111.67824995489636","39.32376871301901","2020-12-24","355","6509.0",""
"17","50","-89.14863899339443","40.12420082696936","-72.66263037415419","44.07524823317805","2020-12-24","33","605.0",""
"17","51","-89.14863899339443","40.12420082696936","-78.66634949421768","37.510873096830124","2020-12-24","622","11405.0",""
"17","53","-89.14863899339443","40.12420082696936","-120.59289987466929","47.41163921872467","2020-12-24","285","5226.0",""
"17","54","-89.14863899339443","40.12420082696936","-80.61370689717069","38.64256709677395","2020-12-24","175","3208.0",""
"17","55","-89.14863899339443","40.12420082696936","-89.73293305821664","44.63994410730462","2020-12-24","8061","147814.0",""
"17","56","-89.14863899339443","40.12420082696936","-107.55139421018254","42.9995374625361","2020-12-24","145","2658.0",""
"17","72","-89.14863899339443","40.12420082696936","-66.41466678397286","18.21569833731172","2020-12-24","123","2255.0",""
